record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1096553010","563419744","-639127720","2160.35","7.605","17.200000000000045","114","19","1","24.33",
"1096553011","563419919","-639128850","2167.7","7.455","17.399999999999977","114","19","1","24.33",
"1096553012","563420100","-639129957","2174.88","7.269","17.600000000000023","114","19","1","24.33",
"1096553013","563420287","-639131057","2182.07","7.129","17.799999999999955","115","19","1","24.33",
"1096553014","563420487","-639132125","2189.14","6.951","18.200000000000045","115","19","1","24.33",
"1096553015","563420667","-639133147","2195.81","6.783","18.399999999999977","115","19","1","24.33",
"1096553016","563420846","-639134154","2202.47","6.466","18.600000000000023","115","19","1","23.31",
"1096553017","563421016","-639135159","2208.97","6.597","18.799999999999955","115","19","1","23.31",
"1096553018","563421191","-639136186","2215.75","6.578","19.200000000000045","115","19","1","23.31",
"1096553019","563421352","-639137185","2222.31","6.522","19.399999999999977","115","19","1","23.31",
"1096553020","563421490","-639138153","2228.58","6.401","19.600000000000023","116","19","1","23.31",
"1096553021","563421632","-639139105","2234.71","6.289","19.799999999999955","116","19","1","24.99",
"1096553022","563421802","-639140063","2241.01","6.214","20.0","116","19","1","24.99",
"1096553023","563421961","-639140985","2247.08","6.084","20.399999999999977","117","19","1","24.99",
"1096553024","563422116","-639141883","2252.91","6.009","20.600000000000023","117","19","1","24.99",
"1096553025","563422258","-639142786","2258.78","5.897","20.799999999999955","118","19","1","26.11",
"1096553026","563422400","-639143685","2264.67","5.757","21.200000000000045","119","19","1","26.11",
"1096553027","563422556","-639144561","2270.37","5.72","21.399999999999977","120","19","1","26.11",
"1096553028","563422731","-639145437","2276.25","5.701","21.799999999999955","121","19","1","26.11",
"1096553029","563422894","-639146266","2281.7","5.664","22.0","121","19","1","26.11",
"1096553030","563423059","-639147107","2287.22","5.636","22.399999999999977","122","19","1","25.28",
"1096553031","563423212","-639147961","2292.87","5.598","22.600000000000023","122","19","1","25.28",
"1096553032","563423353","-639148791","2298.32","5.561","22.799999999999955","123","19","1","25.28",
"1096553033","563423471","-639149641","2303.72","5.598","23.200000000000045","124","19","1","25.28",
"1096553034","563423608","-639150544","2309.64","5.664","23.600000000000023","124","19","1","25.28",
"1096553035","563423749","-639151426","2315.37","5.692","23.799999999999955","125","19","1","27.48",
"1096553036","563423891","-639152318","2321.2","5.757","24.200000000000045","126","19","1","27.48",
"1096553037","563424041","-639153219","2327.06","5.897","24.399999999999977","126","19","1","27.48",
"1096553038","563424194","-639154139","2333.11","5.962","24.600000000000023","127","19","1","27.48",
"1096553039","563424363","-639155044","2339.06","5.972","25.0","128","19","1","27.48",
"1096553040","563424503","-639155965","2345.06","5.972","25.200000000000045","129","19","1","26.59",
"1096553041","563424657","-639156876","2350.98","6.0","25.200000000000045","129","19","1","26.59",
"1096553042","563424815","-639157840","2357.27","6.224","25.399999999999977","131","19","1","26.59",
"1096553043","563424993","-639158785","2363.51","6.13","25.399999999999977","131","19","1","26.59",
"1096553044","563425152","-639159729","2369.67","6.13","25.600000000000023","132","19","1","26.59",
"1096553045","563425321","-639160680","2375.92","6.121","25.600000000000023","133","19","1","27.17",
"1096553046","563425493","-639161616","2382.04","6.158","25.799999999999955","134","19","1","27.17",
"1096553047","563425652","-639162577","2388.38","6.196","25.799999999999955","135","19","1","27.17",
"1096553048","563425823","-639163520","2394.57","6.233","25.799999999999955","136","19","1","27.17",
"1096553049","563425978","-639164482","2400.85","6.28","26.0","136","19","1","27.17",
