record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1096455801","568818699","-630004971","2215.07","11.225","179.60000000000002","11","1",
"1096455802","568817607","-630005764","2226.46","11.262","179.79999999999995","11","1",
"1096455803","568816524","-630006583","2237.78","11.365","179.79999999999995","11","1",
"1096455804","568815438","-630007432","2249.26","11.467","180.0","11","1",
"1096455805","568814356","-630008295","2260.76","11.533","180.0","11","1",
"1096455806","568813335","-630009292","2272.15","11.589","180.20000000000005","11","1",
"1096455807","568812328","-630010309","2283.53","11.533","180.20000000000005","11","1",
"1096455808","568811408","-630011495","2294.89","11.561","180.39999999999998","11","1",
"1096455809","568810597","-630012827","2306.09","11.514","180.60000000000002","11","1",
"1096455810","568809801","-630014236","2317.47","11.617","180.60000000000002","11","1",
"1096455811","568809039","-630015770","2329.48","11.691","180.79999999999995","11","1",
"1096455812","568808312","-630017337","2341.53","11.757","180.79999999999995","11","1",
"1096455813","568807618","-630018910","2353.4","11.766","181.0","11","1",
"1096455814","568806912","-630020458","2365.14","11.813","181.0","11","1",
"1096455815","568806195","-630022019","2376.95","11.878","181.20000000000005","11","1",
"1096455816","568805449","-630023596","2389.11","11.925","181.20000000000005","11","1",
"1096455817","568804615","-630025046","2401.12","11.878","181.39999999999998","11","1",
"1096455818","568803668","-630026312","2412.87","11.915","181.39999999999998","11","1",
"1096455819","568802561","-630027328","2425.02","11.962","181.39999999999998","11","1",
"1096455820","568801387","-630028196","2437.31","12.139","181.39999999999998","11","1",
"1096455821","568800179","-630028986","2449.7","12.41","181.60000000000002","11","1",
"1096455822","568798956","-630029805","2462.14","12.718","181.60000000000002","11","1",
"1096455823","568797754","-630030833","2475.03","12.988","181.60000000000002","11","1",
"1096455824","568796635","-630032107","2488.18","13.278","181.60000000000002","11","1",
"1096455825","568795606","-630033609","2501.56","13.576","181.39999999999998","11","1",
"1096455826","568794620","-630035265","2515.49","13.875","181.20000000000005","11","1",
"1096455827","568793592","-630036898","2529.45","14.071","181.20000000000005","11","1",
"1096455828","568792427","-630038378","2543.6","14.145","181.0","11","1",
"1096455829","568791086","-630039579","2558.15","14.127","181.0","11","1",
"1096455830","568789667","-630040516","2572.73","13.996","181.0","11","1",
"1096455831","568788257","-630041297","2586.88","13.856","180.79999999999995","11","1",
"1096455832","568786883","-630042050","2600.54","13.791","180.79999999999995","11","1",
"1096455833","568785496","-630042756","2614.14","13.809","180.79999999999995","11","1",
"1096455834","568784097","-630043495","2627.96","13.8","180.79999999999995","11","1",
"1096455835","568782704","-630044290","2641.92","13.828","180.79999999999995","11","1",
"1096455836","568781305","-630045035","2655.68","13.875","180.79999999999995","11","1",
"1096455837","568779846","-630045511","2669.55","13.8","180.60000000000002","11","1",
"1096455838","568778363","-630045613","2683.34","13.651","180.39999999999998","11","1",
"1096455839","568776874","-630045442","2697.26","13.763","180.20000000000005","11","1",
"1096455840","568775401","-630045002","2711.29","13.949","179.79999999999995","11","1",
"1096455841","568773957","-630044438","2725.24","13.996","179.39999999999998","11","1",
"1096455842","568772535","-630043893","2738.96","13.828","179.0","11","1",
"1096455843","568771121","-630043420","2752.47","13.651","178.79999999999995","11","1",
