record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110402904","-138844000","1991909120","1737.26","0.6000000000000227","10.388","178","110","87","0.6000000000000227","10.388","0",
"1110402905","-138844944","1991909632","1747.75","0.6000000000000227","10.375","181","110","87","0.6000000000000227","10.375","0",
"1110402906","-138845920","1991910144","1758.12","0.6000000000000227","10.374","178","110","87","0.6000000000000227","10.374","0",
"1110402907","-138846912","1991910656","1768.5","0.6000000000000227","10.364","175","109","85","0.6000000000000227","10.364","0",
"1110402908","-138847888","1991911296","1778.84","0.6000000000000227","10.303","158","109","86","0.6000000000000227","10.303","0",
"1110402909","-138848880","1991911808","1789.24","0.6000000000000227","10.236","164","109","86","0.6000000000000227","10.236","0",
"1110402910","-138849856","1991912192","1799.31","0.6000000000000227","10.178","166","109","86","0.6000000000000227","10.178","0",
"1110402911","-138850864","1991912704","1809.53","0.6000000000000227","10.132","182","109","86","0.6000000000000227","10.132","0",
"1110402912","-138851872","1991913088","1819.64","0.6000000000000227","10.097","177","109","85","0.6000000000000227","10.097","0",
"1110402913","-138852864","1991913472","1829.62","0.6000000000000227","10.054","169","109","86","0.6000000000000227","10.054","0",
"1110402914","-138853888","1991913984","1839.66","0.6000000000000227","10.018","178","109","86","0.6000000000000227","10.018","0",
"1110402915","-138854896","1991914368","1849.65","0.6000000000000227","9.987","177","110","86","0.6000000000000227","9.987","0",
"1110402916","-138855920","1991914752","1859.7","0.6000000000000227","9.956","176","110","86","0.6000000000000227","9.956","0",
"1110402917","-138856944","1991914880","1869.61","0.6000000000000227","9.919","169","110","85","0.6000000000000227","9.919","0",
"1110402918","-138857968","1991915264","1879.55","0.6000000000000227","9.859","198","111","86","0.6000000000000227","9.859","0",
"1110402919","-138858960","1991915648","1889.32","0.6000000000000227","9.762","202","111","86","0.6000000000000227","9.762","0",
"1110402920","-138859968","1991916032","1899.04","0.8000000000000114","9.645","188","111","86","0.8000000000000114","9.645","0",
"1110402921","-138860976","1991916160","1908.61","1.0","9.539","176","112","86","1.0","9.539","0",
"1110402922","-138861952","1991916544","1918.12","1.0","9.486","179","112","84","1.0","9.486","0",
"1110402923","-138862944","1991916672","1927.6","1.0","9.52","203","112","85","1.0","9.52","0",
"1110402924","-138863952","1991916928","1937.17","0.8000000000000114","9.615","192","112","85","0.8000000000000114","9.615","0",
"1110402925","-138864976","1991917312","1946.85","0.6000000000000227","9.747","185","113","86","0.6000000000000227","9.747","0",
"1110402926","-138866016","1991917440","1956.74","0.6000000000000227","9.909","168","113","86","0.6000000000000227","9.909","0",
"1110402927","-138867072","1991917568","1966.65","0.19999999999998863","10.169","179","113","85","0.19999999999998863","10.169","0",
"1110402928","-138868176","1991917824","1977.1","-0.19999999999998863","10.432","160","113","87","-0.19999999999998863","10.432","0",
