record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1074910432","-259277264","1982503168","1724.14","142","16.0","12.016","240","85","16.0","12.016",
"1074910433","-259276560","1982502144","1736.03","142","16.200000000000045","11.761","253","86","16.200000000000045","11.761",
"1074910434","-259275344","1982502144","1747.63","142","16.600000000000023","11.43","237","85","16.600000000000023","11.43",
"1074910435","-259274512","1982502784","1758.69","142","17.0","11.045","275","85","17.0","11.045",
"1074910436","-259274080","1982504064","1769.74","142","17.399999999999977","10.739","264","84","17.399999999999977","10.739",
"1074910437","-259273568","1982505216","1780.37","142","17.600000000000023","10.528","295","83","17.600000000000023","10.528",
"1074910438","-259272592","1982505728","1790.81","142","18.0","10.344","261","83","18.0","10.344",
"1074910439","-259271568","1982505344","1801.07","142","18.200000000000045","10.206","272","83","18.200000000000045","10.206",
"1074910440","-259270816","1982504448","1811.09","142","18.399999999999977","10.128","287","82","18.399999999999977","10.128",
"1074910441","-259269984","1982503680","1821.31","141","18.799999999999955","10.025","285","83","18.799999999999955","10.025",
"1074910442","-259269392","1982502784","1831.31","141","19.0","10.006","294","81","19.0","10.006",
"1074910443","-259269088","1982501760","1841.25","141","19.0","10.017","297","82","19.0","10.017",
"1074910444","-259268544","1982500608","1851.34","141","19.200000000000045","9.996","294","83","19.200000000000045","9.996",
"1074910445","-259267584","1982500224","1861.28","141","19.600000000000023","9.865","257","83","19.600000000000023","9.865",
"1074910446","-259266704","1982500864","1871.04","141","19.799999999999955","9.737","278","83","19.799999999999955","9.737",
"1074910447","-259266640","1982501888","1880.85","141","19.799999999999955","9.797","246","81","19.799999999999955","9.797",
"1074910448","-259266960","1982503040","1890.64","141","20.0","9.798","267","82","20.0","9.798",
"1074910449","-259267248","1982504064","1900.57","141","20.200000000000045","9.808","274","83","20.200000000000045","9.808",
"1074910450","-259267040","1982505216","1910.25","141","20.399999999999977","9.79","290","83","20.399999999999977","9.79",
"1074910451","-259266208","1982505728","1920.02","141","20.600000000000023","9.781","283","83","20.600000000000023","9.781",
"1074910452","-259265136","1982505856","1929.91","141","20.799999999999955","9.662","297","81","20.799999999999955","9.662",
"1074910453","-259264128","1982506112","1939.33","141","21.200000000000045","9.449","278","82","21.200000000000045","9.449",
"1074910454","-259263104","1982506112","1948.68","141","21.600000000000023","9.237","256","82","21.600000000000023","9.237",
"1074910455","-259262176","1982506240","1957.82","141","21.799999999999955","9.111","273","81","21.799999999999955","9.111",
"1074910456","-259261520","1982507136","1966.97","141","22.0","9.184","230","80","22.0","9.184",
"1074910457","-259261168","1982508160","1976.14","141","22.200000000000045","9.132","265","80","22.200000000000045","9.132",
"1074910458","-259260992","1982509184","1985.2","141","22.600000000000023","8.985","269","79","22.600000000000023","8.985",
"1074910459","-259260832","1982510080","1994.11","141","23.0","8.828","272","80","23.0","8.828",
"1074910460","-259260672","1982511232","2002.87","141","23.200000000000045","8.7","299","80","23.200000000000045","8.7",
"1074910461","-259260512","1982512128","2011.52","141","23.600000000000023","8.607","269","79","23.600000000000023","8.607",
"1074910462","-259260288","1982513024","2020.09","141","23.799999999999955","8.548","275","79","23.799999999999955","8.548",
"1074910463","-259259968","1982513920","2028.68","141","24.0","8.625","302","77","24.0","8.625",
"1074910464","-259259376","1982514816","2037.35","141","24.200000000000045","8.688","245","85","24.200000000000045","8.688",
"1074910465","-259258512","1982515200","2046.05","141","24.399999999999977","8.74","315","85","24.399999999999977","8.74",
"1074910466","-259257600","1982514816","2054.82","141","24.600000000000023","8.797","304","85","24.600000000000023","8.797",
"1074910467","-259256832","1982514304","2063.63","140","24.799999999999955","8.813","291","86","24.799999999999955","8.813",
"1074910468","-259256192","1982513536","2072.42","140","25.0","8.737","265","86","25.0","8.737",
"1074910469","-259255488","1982512896","2081.13","140","25.200000000000045","8.754","250","86","25.200000000000045","8.754",
"1074910470","-259254688","1982512256","2090.01","140","25.0","9.027","264","88","25.0","9.027",
"1074910471","-259253824","1982511744","2099.23","140","25.0","9.38","268","89","25.0","9.38",
"1074910472","-259252864","1982511616","2108.63","140","24.799999999999955","9.731","247","91","24.799999999999955","9.731",
"1074910473","-259251888","1982511744","2118.56","141","24.200000000000045","10.157","252","92","24.200000000000045","10.157",
"1074910474","-259251200","1982512896","2129.14","141","23.799999999999955","10.656","240","88","23.799999999999955","10.656",
"1074910475","-259250800","1982513920","2139.99","141","23.600000000000023","11.018","232","84","23.600000000000023","11.018",
"1074910476","-259250272","1982515200","2151.18","141","23.200000000000045","11.336","188","85","23.200000000000045","11.336",
"1074910477","-259249552","1982516096","2162.68","141","22.799999999999955","11.669","238","85","22.799999999999955","11.669",
"1074910478","-259248720","1982517248","2174.54","142","22.399999999999977","12.031","235","86","22.399999999999977","12.031",
"1074910479","-259247888","1982518272","2186.75","142","22.0","12.4","279","87","22.0","12.4",
"1074910480","-259246992","1982519424","2199.35","142","21.600000000000023","12.779","245","88","21.600000000000023","12.779",
"1074910481","-259246272","1982520704","2212.27","142","21.200000000000045","13.084","245","88","21.200000000000045","13.084",
"1074910482","-259245632","1982522112","2225.49","142","20.799999999999955","13.346","246","89","20.799999999999955","13.346",
"1074910483","-259244624","1982523264","2238.98","142","20.200000000000045","13.6","204","90","20.200000000000045","13.6",
"1074910484","-259243248","1982523520","2252.72","142","19.799999999999955","13.851","266","90","19.799999999999955","13.851",
"1074910485","-259241808","1982523264","2266.66","142","19.399999999999977","14.049","263","91","19.399999999999977","14.049",
"1074910486","-259240608","1982522240","2280.75","142","19.200000000000045","14.11","237","90","19.200000000000045","14.11",
"1074910487","-259239648","1982521088","2294.85","142","19.200000000000045","14.064","231","91","19.200000000000045","14.064",
"1074910488","-259238688","1982519808","2308.9","142","19.200000000000045","14.032","236","91","19.200000000000045","14.032",
"1074910489","-259237440","1982518784","2322.95","142","19.0","14.104","228","91","19.0","14.104",
"1074910490","-259236112","1982517888","2337.1","142","18.600000000000023","14.186","217","91","18.600000000000023","14.186",
