record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1082556564","743.72","25.0","0","17","1","27.98","567595994","-628851653","13.679",
"1082556565","756.56","23.799999999999955","0","17","1","27.98","567594606","-628851608","13.1",
"1082556566","769.26","23.799999999999955","0","17","1","27.98","567593252","-628851618","12.587",
"1082556567","781.16","23.600000000000023","0","17","1","27.98","567591970","-628851683","12.065",
"1082556568","793.02","23.200000000000045","0","17","1","27.98","567590698","-628851773","11.813",
"1082556569","804.36","23.0","0","17","1","27.98","567589481","-628851872","11.346",
"1082556570","815.21","22.600000000000023","0","17","1","27.98","567588318","-628851991","10.768",
"1082556571","826.0","22.600000000000023","0","17","1","27.98","567587174","-628852118","10.581",
"1082556572","836.21","22.399999999999977","0","17","1","27.98","567586076","-628852219","10.404",
"1082556573","846.17","22.399999999999977","0","17","1","27.98","567585014","-628852331","10.068",
"1082556574","855.62","22.399999999999977","0","17","1","27.98","567583998","-628852456","9.704",
"1082556575","864.92","22.200000000000045","0","17","1","27.98","567583001","-628852550","9.377",
"1082556576","874.02","22.200000000000045","0","17","1","27.98","567582015","-628852658","9.2",
"1082556577","883.11","22.200000000000045","0","17","1","27.98","567581052","-628852780","8.845",
"1082556578","891.77","22.200000000000045","0","16","1","27.98","567580122","-628852941","8.734",
"1082556579","900.57","22.200000000000045","0","16","1","27.98","567579193","-628853221","8.724",
"1082556580","909.02","22.399999999999977","0","16","1","27.98","567578310","-628853520","8.342",
"1082556581","917.1","22.399999999999977","0","16","1","27.98","567577477","-628853867","7.875",
"1082556582","924.44","22.600000000000023","0","16","1","27.98","567576748","-628854263","7.101",
"1082556583","930.27","22.799999999999955","0","16","1","27.98","567576173","-628854650","5.953",
"1082556584","935.2","23.0","0","16","1","27.98","567575687","-628854981","4.871",
"1082556585","939.5","23.200000000000045","0","16","1","27.98","567575272","-628855252","3.863",
"1082556586","942.48","23.600000000000023","0","16","1","27.98","567574991","-628855446","2.818",
"1082556587","945.07","24.200000000000045","0","16","1","27.98","567574731","-628855586","2.613",
"1082556588","948.17","24.399999999999977","0","16","1","27.98","567574428","-628855803","3.322",
"1082556589","951.5","24.799999999999955","0","16","1","27.98","567574066","-628855982","3.928",
"1082556590","955.9","25.0","0","16","1","27.98","567573597","-628856151","4.469",
"1082556591","960.93","25.200000000000045","0","16","1","27.98","567573091","-628856481","5.048",
"1082556592","966.12","25.399999999999977","0","16","1","27.98","567572620","-628856881","4.917",
"1082556593","971.15","25.600000000000023","0","16","1","27.98","567572219","-628857411","4.964",
"1082556594","976.1","26.0","0","16","1","27.98","567571837","-628857955","4.88",
"1082556595","980.83","26.399999999999977","106","16","1","27.98","567571445","-628858421","4.693",
"1082556596","985.28","26.799999999999955","108","16","1","27.98","567571033","-628858784","4.525",
"1082556597","989.84","27.0","110","16","1","27.98","567570607","-628859119","4.479",
"1082556598","994.02","27.600000000000023","111","16","1","27.98","567570200","-628859419","4.432",
"1082556599","998.35","27.799999999999955","113","16","1","27.98","567569781","-628859731","4.404",
"1082556600","1002.94","28.200000000000045","115","16","1","27.98","567569343","-628859989","4.311",
"1082556601","1006.7","28.799999999999955","115","16","1","27.98","567568959","-628860173","4.171",
"1082556602","1010.26","29.0","118","16","1","27.98","567568581","-628860334","4.031",
"1082556603","1013.82","29.399999999999977","119","16","1","27.98","567568202","-628860375","3.658",
"1082556604","1017.32","29.600000000000023","121","16","1","27.98","567567816","-628860398","3.742",
"1082556605","1020.91","30.0","122","16","1","27.98","567567420","-628860449","3.732",
"1082556606","1024.91","30.200000000000045","123","16","1","27.98","567566992","-628860452","3.695",
"1082556607","1028.88","30.600000000000023","124","16","1","27.98","567566568","-628860388","3.807",
"1082556608","1032.57","31.200000000000045","125","16","1","27.98","567566206","-628860244","3.387",
"1082556609","1035.89","31.600000000000023","126","16","1","27.98","567565848","-628860171","3.49",
"1082556610","1039.29","32.0","127","15","1","27.8","567565474","-628860089","3.63",
"1082556611","1043.01","32.200000000000045","128","15","1","27.8","567565085","-628859983","3.546",
"1082556612","1046.68","32.200000000000045","130","15","1","27.8","567564695","-628859863","3.639",
"1082556613","1050.5","32.799999999999955","132","15","1","27.8","567564311","-628859628","3.742",
"1082556614","1054.87","33.200000000000045","133","15","1","27.8","567563899","-628859390","3.91",
"1082556615","1058.52","33.60000000000002","133","15","1","27.8","567563522","-628859206","3.947",
"1082556616","1062.45","34.0","136","15","1","27.19","567563124","-628858960","4.217",
"1082556617","1066.75","34.200000000000045","136","15","1","27.19","567562688","-628858719","4.413",
