record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1084816002","1216.31","44.200000000000045","19","1","567570895","-628858293","3.35",
"1084816003","1219.61","44.200000000000045","19","1","567570580","-628858491","3.35",
"1084816004","1222.82","44.200000000000045","19","1","567570264","-628858699","3.564",
"1084816005","1222.82","44.60000000000002","19","1","567569978","-628858946","3.564",
"1084816006","1229.22","44.60000000000002","19","1","567569663","-628859204","3.639",
"1084816007","1232.72","44.60000000000002","19","1","567569327","-628859454","3.732",
"1084816008","1236.2","44.60000000000002","19","1","567568971","-628859656","3.714",
"1084816009","1239.34","44.60000000000002","19","1","567568650","-628859872","3.583",
"1084816010","1243.27","44.60000000000002","19","1","567568266","-628860117","3.611",
"1084816011","1247.18","44.39999999999998","19","1","567567899","-628860349","3.508",
"1084816012","1250.44","44.39999999999998","19","1","567567563","-628860416","3.368",
"1084816013","1253.21","44.60000000000002","19","1","567567257","-628860388","3.21",
"1084816014","1256.43","45.0","19","1","567566913","-628860370","3.331",
"1084816015","1259.17","44.799999999999955","19","1","567566600","-628860345","3.247",
"1084816016","1262.64","45.0","19","1","567566237","-628860276","3.247",
"1084816017","1266.1","45.39999999999998","19","1","567565858","-628860219","3.564",
"1084816018","1269.05","45.39999999999998","19","1","567565564","-628860131","2.799",
"1084816019","1271.96","45.60000000000002","19","1","567565255","-628859984","3.014",
"1084816020","1275.35","45.799999999999955","19","1","567564905","-628859798","3.406",
"1084816021","1278.58","45.799999999999955","19","1","567564584","-628859644","3.088",
"1084816022","1282.09","45.799999999999955","19","1","567564244","-628859432","3.294",
"1084816023","1285.37","46.0","19","1","567563917","-628859231","3.406",
"1084816024","1288.68","46.200000000000045","19","1","567563578","-628859041","3.462",
"1084816025","1292.39","46.39999999999998","19","1","567563209","-628858854","3.63",
"1084816026","1296.03","46.799999999999955","19","1","567562838","-628858663","3.798",
"1084816027","1299.9","46.799999999999955","19","1","567562453","-628858410","4.022",
"1084816028","1303.75","46.60000000000002","19","1","567562073","-628858163","3.872",
"1084816029","1308.08","46.799999999999955","19","1","567561647","-628857898","4.115",
"1084816030","1312.09","46.799999999999955","19","1","567561245","-628857686","3.956",
"1084816031","1316.04","46.799999999999955","19","1","567560846","-628857477","3.984",
"1084816032","1319.99","47.0","19","1","567560451","-628857240","4.012",
"1084816033","1324.09","47.0","19","1","567560059","-628856996","4.022",
"1084816034","1327.76","47.0","18","1","567559686","-628856788","3.966",
"1084816035","1331.6","47.200000000000045","18","1","567559305","-628856542","3.994",
"1084816036","1335.51","47.200000000000045","18","1","567558912","-628856313","4.012",
"1084816037","1339.6","47.39999999999998","18","1","567558493","-628856105","4.106",
"1084816038","1343.84","47.39999999999998","18","1","567558077","-628855920","4.096",
"1084816039","1347.42","47.39999999999998","18","1","567557688","-628855740","4.096",
"1084816040","1351.76","47.39999999999998","18","1","567557269","-628855467","4.115",
"1084816041","1355.88","47.39999999999998","18","1","567556848","-628855250","4.18",
"1084816042","1360.29","47.60000000000002","18","1","567556416","-628855022","4.227",
"1084816043","1364.25","47.39999999999998","18","1","567556016","-628854803","4.18",
"1084816044","1368.22","47.60000000000002","18","1","567555608","-628854590","4.124",
"1084816045","1372.52","47.799999999999955","18","1","567555190","-628854365","4.087",
"1084816046","1376.3","47.799999999999955","18","1","567554802","-628854182","4.012",
"1084816047","1379.97","48.0","18","1","567554424","-628853980","3.975",
"1084816048","1384.21","48.0","18","1","567553999","-628853727","4.236",
"1084816049","1388.59","48.0","18","1","567553568","-628853509","4.311",
"1084816050","1392.52","48.0","18","1","567553157","-628853278","4.264",
"1084816051","1396.88","48.0","18","1","567552714","-628853059","4.273",
"1084816052","1401.25","48.0","18","1","567552280","-628852829","4.301",
"1084816053","1405.33","48.200000000000045","18","1","567551867","-628852582","4.301",
"1084816054","1409.51","48.200000000000045","18","1","567551444","-628852347","4.208",
"1084816055","1413.65","48.200000000000045","18","1","567551020","-628852134","4.133",
"1084816056","1417.9","48.39999999999998","18","1","567550601","-628851867","4.18",
"1084816057","1422.16","48.39999999999998","18","1","567550192","-628851615","4.05",
"1084816058","1426.24","48.39999999999998","18","1","567549801","-628851370","4.087",
"1084816059","1429.61","48.60000000000002","18","1","567549444","-628851171","3.994",
"1084816060","1433.46","48.60000000000002","18","1","567549074","-628850875","3.91",
"1084816061","1437.39","48.799999999999955","18","1","567548705","-628850573","3.76",
"1084816062","1441.23","48.799999999999955","18","1","567548330","-628850304","3.667",
"1084816063","1445.21","49.200000000000045","18","1","567547941","-628850047","3.695",
"1084816064","1449.12","49.200000000000045","18","1","567547559","-628849797","3.648",
"1084816065","1453.07","49.39999999999998","18","1","567547167","-628849611","3.714",
"1084816066","1456.96","49.60000000000002","18","1","567546788","-628849428","3.742",
"1084816067","1460.27","49.799999999999955","18","1","567546459","-628849213","3.723",
"1084816068","1463.71","49.799999999999955","18","1","567546125","-628848974","3.77",
"1084816069","1467.17","50.0","18","1","567545772","-628848762","3.723",
"1084816070","1470.78","50.0","18","1","567545403","-628848526","3.648",
"1084816071","1475.07","50.200000000000045","18","1","567545007","-628848246","3.695",
"1084816072","1478.57","50.39999999999998","18","1","567544627","-628848030","3.798",
"1084816073","1483.17","50.60000000000002","18","1","567544195","-628847826","3.798",
"1084816074","1486.45","50.60000000000002","18","1","567543829","-628847691","3.76",
"1084816075","1490.55","50.799999999999955","18","1","567543426","-628847483","3.779",
"1084816076","1494.28","51.0","18","1","567543043","-628847276","3.816",
"1084816077","1498.16","51.200000000000045","18","1","567542643","-628847061","3.863",
"1084816078","1502.39","51.39999999999998","18","1","567542233","-628846869","3.835",
"1084816079","1506.24","51.60000000000002","18","1","567541861","-628846631","3.788",
"1084816080","1509.8","51.799999999999955","18","1","567541478","-628846482","3.816",
"1084816081","1513.91","51.799999999999955","18","1","567541065","-628846381","3.844",
"1084816082","1517.39","52.0","17","1","567540692","-628846231","3.863",
"1084816083","1521.68","52.200000000000045","17","1","567540283","-628845986","3.938",
"1084816084","1525.58","52.200000000000045","17","1","567539893","-628845760","4.05",
"1084816085","1529.66","52.39999999999998","18","1","567539490","-628845539","4.208",
"1084816086","1533.62","52.60000000000002","17","1","567539100","-628845320","4.273",
"1084816087","1533.62","52.799999999999955","17","1","567538708","-628845149","4.273",
"1084816088","1541.69","53.0","17","1","567538244","-628844898","4.311",
"1084816089","1546.47","53.0","17","1","567537782","-628844639","4.357",
"1084816090","1550.81","53.200000000000045","17","1","567537339","-628844424","4.488",
"1084816091","1555.37","53.39999999999998","17","1","567536891","-628844197","4.553",
"1084816092","1559.71","53.60000000000002","17","1","567536459","-628843980","4.637",
"1084816093","1563.84","53.799999999999955","17","1","567536029","-628843765","4.749",
"1084816094","1568.01","53.799999999999955","17","1","567535561","-628843543","4.964",
"1084816095","1573.49","54.0","17","1","567535017","-628843309","5.02",
"1084816096","1578.68","54.0","17","1","567534482","-628843075","5.151",
"1084816097","1584.14","54.200000000000045","17","1","567533926","-628842839","5.207",
"1084816098","1589.77","54.200000000000045","17","1","567533353","-628842697","5.235",
"1084816099","1594.72","54.200000000000045","17","1","567532789","-628842582","5.188",
